Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Fuselage	21.196123	20.369224	5.294479	5.261506	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.800000	3.219341	3.358693
Tire_MainGear	0.295224	0.053912	0.012268	0.002317	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.182880	0.210157	0.353540
Tire_MainGear	0.295224	0.053912	0.012268	0.002317	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.182880	0.210157	0.353540
Pant_MainGear	0.632388	0.590496	0.034849	0.033651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.914400	0.164752	1.996482
Pant_MainGear	0.632388	0.590496	0.034849	0.033651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.914400	0.164752	1.996482
Strut_MainGear	0.376570	0.260175	0.006645	0.004747	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Strut_MainGear	0.376570	0.267015	0.006645	0.004872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Tire_NoseGear	0.205017	0.046629	0.007099	0.001670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.152400	0.145943	0.353540
Pant_NoseGear	0.521564	0.486497	0.023169	0.022348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.914400	0.097128	2.600214
Strut_NoseGear	0.183675	0.132650	0.002780	0.002076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Prop	0.259616	0.251782	0.001691	0.001691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Prop	0.259616	0.258931	0.001691	0.001691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Prop	0.259616	0.258828	0.001691	0.001691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Prop	2.970239	2.796549	-0.402368	-0.403043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Vertical	3.481873	3.295275	0.130525	0.127744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wing	13.868874	12.197659	0.763785	0.694665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wing	13.852010	12.180795	0.759052	0.690245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Horizontal	4.932746	4.743314	0.113121	0.112487	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
